instance,strategy,result,time
AfricaSul11e,m,1313,38225
AfricaSul11n,m,2182,39773
Angola12e,m,981,37829
Angola12n,m,1701,38282
Arabia14e,m,1681,38968
Arabia14n,m,2470,39033
Argelia15e,m,1312,38848
Argelia15n,m,2016,38795
Argentina16e,m,1383,38591
Argentina16n,m,2639,38516
Australia16e,m,1738,39131
Australia16n,m,2290,39017
Bolivia10e,m,1308,38475
Bolivia10n,m,1247,38341
Brasil16e,m,1782,38950
Brasil16n,m,2597,39638
BrasilAM26e,m,638,42122
BrasilAM26n,m,609,40376
BrasilMG30e,m,707,40252
BrasilMG30n,m,510,41319
BrasilPR25e,m,659,41047
BrasilRJ14e,m,337,39013
BrasilRJ14n,m,486,39467
BrasilRN16e,m,474,39832
Canada17e,m,1973,39915
Canada17n,m,3221,39528
Cazaquistao15e,m,1461,38770
Cazaquistao15n,m,2507,39689
Chade12e,m,1546,40930
Chade12n,m,2389,40552
China17e,m,1330,40372
China17n,m,1703,39834
Colombia11e,m,963,39446
Colombia11n,m,1094,39741
Congo15e,m,1239,38951
Congo15n,m,1822,38806
EUA17e,m,1178,38933
EUA17n,m,1711,39186
Egito9n,m,2073,39281
Etiopia10e,m,903,38278
Etiopia10n,m,1654,40266
India16e,m,1749,42844
India16n,m,2287,39767
Indonesia14e,m,1361,39225
Indonesia14n,m,1557,39022
Ira13e,m,1606,39062
Ira13n,m,2022,39218
Libia14e,m,799,38018
Libia14n,m,1209,39037
Mali11e,m,1350,39837
Mali11n,m,2213,39227
Mauritania10e,m,764,37628
Mauritania10n,m,1469,37953
Mexico14e,m,1391,39099
Mexico14n,m,2094,40110
Mongolia13e,m,1245,42138
Mongolia13n,m,1644,40906
Niger12e,m,1523,42499
Niger12n,m,1807,41098
Peru13e,m,1308,40696
Peru13n,m,1907,39663
Russia17e,m,1644,40214
Russia17n,m,2885,39585
Sudao15e,m,1541,39371
Sudao15n,m,2611,39484
att48Ae,m,33196,40142
att48An,m,1645,40256
AfricaSul11e,m,1290,37903
AfricaSul11n,m,2182,38962
Angola12e,m,981,38071
Angola12n,m,1701,37998
Arabia14e,m,1482,38984
Arabia14n,m,2494,39249
Argelia15e,m,1336,38705
Argelia15n,m,2207,39078
Argentina16e,m,1383,38381
Argentina16n,m,2639,38407
Australia16e,m,1815,39179
Australia16n,m,2019,39055
Bolivia10e,m,1326,38117
Bolivia10n,m,1247,38299
Brasil16e,m,1970,39202
Brasil16n,m,2597,39177
BrasilAM26e,m,644,40293
BrasilAM26n,m,602,40405
BrasilMG30e,m,672,40625
BrasilMG30n,m,588,39988
BrasilPR25e,m,681,39343
BrasilRJ14e,m,337,37656
BrasilRJ14n,m,518,38552
BrasilRN16e,m,494,37948
Canada17e,m,2275,39515
Canada17n,m,3289,39542
Cazaquistao15e,m,1465,39304
Cazaquistao15n,m,2845,39274
Chade12e,m,1361,39218
Chade12n,m,2182,39037
China17e,m,1415,39231
China17n,m,1701,40344
Colombia11e,m,963,38317
Colombia11n,m,963,39892
Congo15e,m,1299,39094
Congo15n,m,1822,38374
EUA17e,m,1178,39065
EUA17n,m,1711,40289
Egito9n,m,2043,40241
Etiopia10e,m,845,39780
Etiopia10n,m,1532,41507
India16e,m,1818,40344
India16n,m,2542,40751
Indonesia14e,m,1361,41278
Indonesia14n,m,1785,40586
Ira13e,m,1609,40097
Ira13n,m,2188,39380
Libia14e,m,799,38401
Libia14n,m,1209,38811
Mali11e,m,1243,38604
Mali11n,m,2258,39033
Mauritania10e,m,764,37329
Mauritania10n,m,1469,37632
Mexico14e,m,1368,38440
Mexico14n,m,2183,38907
Mongolia13e,m,1467,41165
Mongolia13n,m,1927,39468
Niger12e,m,1298,39424
Niger12n,m,2129,40466
Peru13e,m,1308,41898
Peru13n,m,1907,40425
Russia17e,m,1894,42239
Russia17n,m,3075,40196
Sudao15e,m,1355,39672
