instance,strategy,result,time
AfricaSul11e,ols,1232,38599
AfricaSul11n,ols,1945,39743
Angola12e,ols,981,37888
Angola12n,ols,1701,37909
Arabia14e,ols,1681,39012
Arabia14n,ols,2465,39418
Argelia15e,ols,1374,39385
Argelia15n,ols,2318,39595
Argentina16e,ols,1383,38300
Argentina16n,ols,2639,38485
Australia16e,ols,1829,39497
Australia16n,ols,1969,38836
Bolivia10e,ols,1293,38164
Bolivia10n,ols,1423,43915
Brasil16e,ols,1665,39079
Brasil16n,ols,2597,39754
BrasilAM26e,ols,645,40243
BrasilAM26n,ols,576,40875
BrasilMG30e,ols,720,40488
BrasilMG30n,ols,489,40042
BrasilPR25e,ols,668,40668
BrasilRJ14e,ols,337,38238
BrasilRJ14n,ols,512,38513
BrasilRN16e,ols,474,39643
Canada17e,ols,2060,39127
Canada17n,ols,3221,39109
Cazaquistao15e,ols,1461,40301
Cazaquistao15n,ols,2735,41870
Chade12e,ols,1639,40009
Chade12n,ols,2128,39939
China17e,ols,1396,39642
China17n,ols,1668,41168
Colombia11e,ols,963,39012
Colombia11n,ols,1094,38478
Congo15e,ols,1278,37726
Congo15n,ols,1822,37775
EUA17e,ols,1178,37828
EUA17n,ols,1815,38658
Egito9n,ols,2410,38294
Etiopia10e,ols,833,39540
Etiopia10n,ols,1615,41290
India16e,ols,1877,38644
India16n,ols,2189,38781
Indonesia14e,ols,1233,38409
Indonesia14n,ols,1932,38424
Ira13e,ols,1652,38336
Ira13n,ols,1966,38498
Libia14e,ols,799,37115
Libia14n,ols,1209,39237
Mali11e,ols,1298,38545
Mali11n,ols,2213,38128
Mauritania10e,ols,764,37009
Mauritania10n,ols,1469,37491
Mexico14e,ols,1190,39358
Mexico14n,ols,2295,42425
Mongolia13e,ols,1404,41850
Mongolia13n,ols,1829,40513
Niger12e,ols,1398,42645
Niger12n,ols,1988,42979
Peru13e,ols,1308,39673
Peru13n,ols,1907,39585
Russia17e,ols,1894,39320
Russia17n,ols,2862,39864
Sudao15e,ols,1355,39248
Sudao15n,ols,2284,39131
att48Ae,ols,33031,40379
att48An,ols,1570,40138
AfricaSul11e,ols,1328,38694
AfricaSul11n,ols,1902,39501
Angola12e,ols,882,37850
Angola12n,ols,1701,38105
Arabia14e,ols,1631,39061
Arabia14n,ols,2556,39013
Argelia15e,ols,1475,39249
Argelia15n,ols,2091,39269
Argentina16e,ols,1303,38246
Argentina16n,ols,2639,38501
Australia16e,ols,1823,39201
Australia16n,ols,1970,38857
Bolivia10e,ols,1326,38928
Bolivia10n,ols,1247,38896
Brasil16e,ols,2011,39185
Brasil16n,ols,2597,39618
BrasilAM26e,ols,674,40005
BrasilAM26n,ols,601,39723
BrasilMG30e,ols,718,40006
BrasilMG30n,ols,650,39905
BrasilPR25e,ols,655,39479
BrasilRJ14e,ols,337,38036
BrasilRJ14n,ols,516,42893
BrasilRN16e,ols,494,38339
Canada17e,ols,2275,39990
Canada17n,ols,3212,39247
Cazaquistao15e,ols,1485,39216
Cazaquistao15n,ols,2564,39419
Chade12e,ols,1362,38980
Chade12n,ols,1996,39284
China17e,ols,1368,39261
China17n,ols,1624,39841
Colombia11e,ols,963,38878
Colombia11n,ols,1094,38299
Congo15e,ols,1299,38071
Congo15n,ols,1822,38483
EUA17e,ols,1178,38858
EUA17n,ols,1711,40266
Egito9n,ols,2114,40000
Etiopia10e,ols,876,40903
Etiopia10n,ols,1626,39457
India16e,ols,1749,41209
India16n,ols,2182,41010
Indonesia14e,ols,1330,41203
Indonesia14n,ols,1762,39892
Ira13e,ols,1669,39123
Ira13n,ols,1905,39135
Libia14e,ols,799,38137
Libia14n,ols,1209,39110
Mali11e,ols,1340,38596
Mali11n,ols,2313,38561
Mauritania10e,ols,764,37105
Mauritania10n,ols,1469,37667
Mexico14e,ols,1243,39579
Mexico14n,ols,2124,41330
Mongolia13e,ols,1245,40455
Mongolia13n,ols,1899,40004
Niger12e,ols,1523,41185
Niger12n,ols,1982,43019
Peru13e,ols,1230,40376
Peru13n,ols,1907,41549
Russia17e,ols,1894,39722
Russia17n,ols,2821,39666
Sudao15e,ols,1396,39164
Sudao15n,ols,2512,40409
att48Ae,ols,33081,40653
att48An,ols,1660,41309
AfricaSul11e,ols,1330,38457
AfricaSul11n,ols,1754,39472
Angola12e,ols,981,38270
Angola12n,ols,1701,37584
Arabia14e,ols,1613,38508
Arabia14n,ols,2754,38606
Argelia15e,ols,1377,38315
Argelia15n,ols,2349,38761
Argentina16e,ols,1303,38169
Argentina16n,ols,2639,38365
Australia16e,ols,1636,39238
Australia16n,ols,2054,39291
Bolivia10e,ols,1245,38892
Bolivia10n,ols,1247,38613
Brasil16e,ols,1777,39170
Brasil16n,ols,2597,39845
BrasilAM26e,ols,681,39657
BrasilAM26n,ols,544,39216
BrasilMG30e,ols,720,39426
BrasilMG30n,ols,562,39664
BrasilPR25e,ols,646,39455
BrasilRJ14e,ols,337,37560
BrasilRJ14n,ols,516,37884
BrasilRN16e,ols,494,37572
Canada17e,ols,2275,38782
Canada17n,ols,3266,38929
Cazaquistao15e,ols,1461,38707
Cazaquistao15n,ols,2580,39091
Chade12e,ols,1429,38848
Chade12n,ols,2056,38820
China17e,ols,1368,39419
China17n,ols,1808,39781
Colombia11e,ols,963,37607
Colombia11n,ols,1094,38066
Congo15e,ols,1299,38285
Congo15n,ols,1822,38648
EUA17e,ols,1178,38691
EUA17n,ols,1777,39586
Egito9n,ols,2114,38955
Etiopia10e,ols,1014,38578
Etiopia10n,ols,1460,38743
India16e,ols,1749,39442
India16n,ols,2766,39242
Indonesia14e,ols,1361,38485
Indonesia14n,ols,1472,38407
Ira13e,ols,1652,38974
Ira13n,ols,2107,38979
Libia14e,ols,799,37327
Libia14n,ols,1209,38518
Mali11e,ols,1455,39067
Mali11n,ols,2213,39171
Mauritania10e,ols,764,37612
Mauritania10n,ols,1469,37648
Mexico14e,ols,1244,39127
Mexico14n,ols,1840,39589
Mongolia13e,ols,1548,45037
Mongolia13n,ols,1829,38969
Niger12e,ols,1398,39416
Niger12n,ols,2457,39225
Peru13e,ols,1308,38251
Peru13n,ols,1907,38385
Russia17e,ols,1894,39035
Russia17n,ols,2655,39109
Sudao15e,ols,1462,39156
Sudao15n,ols,2283,38948
att48Ae,ols,33039,40080
att48An,ols,1696,39833
AfricaSul11e,ols,1224,37861
AfricaSul11n,ols,1945,38566
Angola12e,ols,981,37257
Angola12n,ols,1701,38473
Arabia14e,ols,1681,39200
Arabia14n,ols,2889,39188
Argelia15e,ols,1258,38665
Argelia15n,ols,2207,38894
Argentina16e,ols,1303,38166
Argentina16n,ols,2639,38432
Australia16e,ols,1636,38803
Australia16n,ols,1959,38769
Bolivia10e,ols,1326,38145
Bolivia10n,ols,1430,38170
Brasil16e,ols,2071,38704
Brasil16n,ols,2797,39086
BrasilAM26e,ols,658,39259
BrasilAM26n,ols,649,39261
BrasilMG30e,ols,778,39504
BrasilMG30n,ols,490,39416
BrasilPR25e,ols,674,39060
BrasilRJ14e,ols,337,37593
BrasilRJ14n,ols,512,38653
BrasilRN16e,ols,494,38207
Canada17e,ols,1927,38941
Canada17n,ols,3221,39470
Cazaquistao15e,ols,1501,38858
Cazaquistao15n,ols,2617,39076
Chade12e,ols,1382,39054
Chade12n,ols,2128,38906
China17e,ols,1396,38858
China17n,ols,1624,39627
Colombia11e,ols,963,37316
Colombia11n,ols,1094,38811
Congo15e,ols,1299,38162
Congo15n,ols,1822,39027
EUA17e,ols,1178,38862
EUA17n,ols,1678,39618
Egito9n,ols,2049,39010
Etiopia10e,ols,1049,37954
Etiopia10n,ols,1627,38043
India16e,ols,1749,38578
India16n,ols,2242,38715
Indonesia14e,ols,1208,38609
Indonesia14n,ols,1530,38519
Ira13e,ols,1670,38614
Ira13n,ols,2140,38634
Libia14e,ols,799,37587
Libia14n,ols,1209,38450
Mali11e,ols,1311,38450
Mali11n,ols,2471,38499
Mauritania10e,ols,764,37182
Mauritania10n,ols,1469,37629
Mexico14e,ols,1397,38495
Mexico14n,ols,2133,38922
Mongolia13e,ols,1530,38550
Mongolia13n,ols,1927,38092
Niger12e,ols,1395,38782
Niger12n,ols,1774,38410
Peru13e,ols,1308,37617
Peru13n,ols,1907,38086
Russia17e,ols,1894,38828
Russia17n,ols,2875,39250
Sudao15e,ols,1556,38938
Sudao15n,ols,2611,38691
att48Ae,ols,33196,39935
att48An,ols,1571,39902
AfricaSul11e,ols,1330,37761
AfricaSul11n,ols,2026,38521
Angola12e,ols,981,37352
Angola12n,ols,1701,37418
Arabia14e,ols,1539,38362
Arabia14n,ols,2556,39064
Argelia15e,ols,1276,39175
Argelia15n,ols,2247,39536
Argentina16e,ols,1383,38294
Argentina16n,ols,2639,38060
Australia16e,ols,1885,38887
Australia16n,ols,2011,38885
Bolivia10e,ols,1293,38045
Bolivia10n,ols,1430,37956
Brasil16e,ols,1782,38736
Brasil16n,ols,2597,38839
BrasilAM26e,ols,665,39312
BrasilAM26n,ols,662,38838
BrasilMG30e,ols,742,39419
BrasilMG30n,ols,495,39422
BrasilPR25e,ols,681,39066
BrasilRJ14e,ols,337,37485
BrasilRJ14n,ols,516,37952
BrasilRN16e,ols,494,37577
