instance,strategy,result,time
AfricaSul11e,opr,417,74924
AfricaSul11n,opr,725,75470
Angola12e,opr,541,76671
Angola12n,opr,451,73453
Arabia14e,opr,774,75493
Arabia14n,opr,1250,77448
Argelia15e,opr,641,77187
Argelia15n,opr,822,81259
Argentina16e,opr,789,79809
Argentina16n,opr,991,83579
Australia16e,opr,1003,83262
Australia16n,opr,887,83798
Bolivia10e,opr,584,73100
Bolivia10n,opr,525,70070
Brasil16e,opr,893,74999
Brasil16n,opr,1159,79459
BrasilAM26e,opr,445,97771
BrasilAM26n,opr,191,98877
BrasilMG30e,opr,474,103235
BrasilMG30n,opr,296,108388
BrasilPR25e,opr,442,96300
BrasilRJ14e,opr,250,79004
BrasilRJ14n,opr,117,78942
BrasilRN16e,opr,319,85371
Canada17e,opr,1074,82780
Canada17n,opr,1033,84962
Cazaquistao15e,opr,799,79981
Cazaquistao15n,opr,1304,78603
Chade12e,opr,860,76904
Chade12n,opr,996,78547
China17e,opr,877,85200
China17n,opr,822,85437
Colombia11e,opr,474,73539
Colombia11n,opr,575,76778
Congo15e,opr,713,81335
Congo15n,opr,728,82323
EUA17e,opr,675,82668
EUA17n,opr,714,84295
Egito9n,opr,670,71115
Etiopia10e,opr,308,68332
Etiopia10n,opr,482,73961
India16e,opr,1022,81925
India16n,opr,1297,78200
Indonesia14e,opr,781,79101
Indonesia14n,opr,847,81963
Ira13e,opr,768,79624
Ira13n,opr,920,75411
Libia14e,opr,622,75562
Libia14n,opr,566,78534
Mali11e,opr,544,76184
Mali11n,opr,779,75963
Mauritania10e,opr,472,74603
Mauritania10n,opr,307,70755
Mexico14e,opr,709,74095
Mexico14n,opr,873,77620
Mongolia13e,opr,675,78150
Mongolia13n,opr,712,79506
Niger12e,opr,726,75639
Niger12n,opr,667,77833
Peru13e,opr,636,78455
Peru13n,opr,717,80554
Russia17e,opr,1103,82603
Russia17n,opr,1275,84866
Sudao15e,opr,813,78268
Sudao15n,opr,985,80378
att48Ae,opr,27234,136616
att48An,opr,935,144264
AfricaSul11e,opr,417,72052
AfricaSul11n,opr,722,74262
Angola12e,opr,541,76146
Angola12n,opr,451,73580
Arabia14e,opr,799,71808
Arabia14n,opr,1292,77471
Argelia15e,opr,678,79568
Argelia15n,opr,778,79456
Argentina16e,opr,789,79831
Argentina16n,opr,995,83842
Australia16e,opr,991,81927
Australia16n,opr,974,80053
Bolivia10e,opr,478,69496
Bolivia10n,opr,525,69990
Brasil16e,opr,808,75920
Brasil16n,opr,950,79436
BrasilAM26e,opr,441,98932
BrasilAM26n,opr,182,98930
BrasilMG30e,opr,416,102026
BrasilMG30n,opr,289,108260
BrasilPR25e,opr,437,96814
BrasilRJ14e,opr,250,81145
BrasilRJ14n,opr,119,78016
BrasilRN16e,opr,329,83825
Canada17e,opr,1075,81428
Canada17n,opr,1346,85389
Cazaquistao15e,opr,799,79278
Cazaquistao15n,opr,1571,81210
Chade12e,opr,769,75191
Chade12n,opr,780,74997
China17e,opr,834,83312
China17n,opr,844,83294
Colombia11e,opr,474,77658
Colombia11n,opr,575,73308
Congo15e,opr,663,77227
Congo15n,opr,728,79316
EUA17e,opr,675,81013
EUA17n,opr,725,83381
Egito9n,opr,821,71132
Etiopia10e,opr,308,67275
Etiopia10n,opr,482,71789
India16e,opr,1022,81349
India16n,opr,1081,79338
Indonesia14e,opr,743,75756
Indonesia14n,opr,773,81261
Ira13e,opr,760,77628
Ira13n,opr,773,73630
Libia14e,opr,622,75260
Libia14n,opr,566,77176
Mali11e,opr,544,75505
Mali11n,opr,840,77070
Mauritania10e,opr,472,73645
Mauritania10n,opr,307,70081
Mexico14e,opr,711,74481
Mexico14n,opr,1001,78488
Mongolia13e,opr,675,77756
Mongolia13n,opr,663,78810
Niger12e,opr,698,73701
Niger12n,opr,794,75605
Peru13e,opr,636,77767
Peru13n,opr,635,77798
Russia17e,opr,1108,85121
Russia17n,opr,1274,82534
Sudao15e,opr,652,76320
Sudao15n,opr,964,81302
att48Ae,opr,27394,134068
att48An,opr,865,143541
AfricaSul11e,opr,417,71245
AfricaSul11n,opr,729,75002
Angola12e,opr,551,75007
Angola12n,opr,451,73468
Arabia14e,opr,830,76753
Arabia14n,opr,1296,77720
Argelia15e,opr,714,79910
Argelia15n,opr,741,79586
Argentina16e,opr,866,81450
Argentina16n,opr,976,83433
Australia16e,opr,1033,81038
Australia16n,opr,930,79092
Bolivia10e,opr,484,69347
Bolivia10n,opr,525,69334
Brasil16e,opr,950,77164
Brasil16n,opr,961,79457
BrasilAM26e,opr,455,101830
BrasilAM26n,opr,209,98077
BrasilMG30e,opr,416,100121
BrasilMG30n,opr,279,104772
BrasilPR25e,opr,451,94078
BrasilRJ14e,opr,250,77193
BrasilRJ14n,opr,136,77699
BrasilRN16e,opr,319,83224
Canada17e,opr,1377,83391
Canada17n,opr,1188,85400
Cazaquistao15e,opr,783,79282
Cazaquistao15n,opr,1466,81430
Chade12e,opr,819,75214
Chade12n,opr,893,75295
China17e,opr,839,81338
China17n,opr,827,83648
Colombia11e,opr,474,72168
Colombia11n,opr,575,73340
Congo15e,opr,663,77076
Congo15n,opr,728,79327
EUA17e,opr,675,81352
EUA17n,opr,725,83280
Egito9n,opr,746,72313
Etiopia10e,opr,308,67673
Etiopia10n,opr,482,72717
India16e,opr,1097,82665
India16n,opr,885,80639
Indonesia14e,opr,751,76210
Indonesia14n,opr,667,78345
Ira13e,opr,760,78528
Ira13n,opr,773,74429
Libia14e,opr,626,76396
Libia14n,opr,566,78412
Mali11e,opr,544,76337
Mali11n,opr,725,74543
Mauritania10e,opr,472,74428
Mauritania10n,opr,314,70190
Mexico14e,opr,747,77557
Mexico14n,opr,777,76983
Mongolia13e,opr,726,79249
Mongolia13n,opr,667,77051
Niger12e,opr,689,75733
Niger12n,opr,667,76527
Peru13e,opr,636,78912
Peru13n,opr,590,77368
Russia17e,opr,1044,83231
Russia17n,opr,1031,80822
Sudao15e,opr,642,78882
Sudao15n,opr,906,82880
att48Ae,opr,27234,135248
att48An,opr,884,142751
AfricaSul11e,opr,417,72792
AfricaSul11n,opr,751,74990
Angola12e,opr,551,76871
Angola12n,opr,451,74791
Arabia14e,opr,896,74491
Arabia14n,opr,1307,78885
Argelia15e,opr,718,80796
Argelia15n,opr,799,81681
Argentina16e,opr,789,79502
Argentina16n,opr,975,83761
Australia16e,opr,933,84880
Australia16n,opr,679,82405
Bolivia10e,opr,484,70030
Bolivia10n,opr,525,69755
Brasil16e,opr,779,77502
Brasil16n,opr,950,80019
BrasilAM26e,opr,469,99356
BrasilAM26n,opr,212,100270
BrasilMG30e,opr,416,102090
BrasilMG30n,opr,278,106926
BrasilPR25e,opr,451,93558
BrasilRJ14e,opr,250,77091
BrasilRJ14n,opr,119,77224
BrasilRN16e,opr,319,83292
Canada17e,opr,1337,83345
Canada17n,opr,1579,81063
Cazaquistao15e,opr,863,76960
Cazaquistao15n,opr,1446,81098
Chade12e,opr,802,75155
Chade12n,opr,859,75236
China17e,opr,834,83318
China17n,opr,826,83341
Colombia11e,opr,474,71522
Colombia11n,opr,575,74146
Congo15e,opr,713,79841
Congo15n,opr,669,77360
EUA17e,opr,710,81272
EUA17n,opr,724,83324
Egito9n,opr,624,72405
Etiopia10e,opr,308,69021
Etiopia10n,opr,482,71636
India16e,opr,1136,79100
India16n,opr,1188,79390
Indonesia14e,opr,748,75052
Indonesia14n,opr,813,77249
Ira13e,opr,760,77302
Ira13n,opr,941,75030
Libia14e,opr,622,75491
Libia14n,opr,566,77270
Mali11e,opr,544,75197
Mali11n,opr,789,75157
Mauritania10e,opr,472,73781
Mauritania10n,opr,307,69301
Mexico14e,opr,724,77041
Mexico14n,opr,934,77008
Mongolia13e,opr,617,77028
Mongolia13n,opr,647,75064
Niger12e,opr,675,75050
Niger12n,opr,667,75024
Peru13e,opr,636,77071
Peru13n,opr,590,75197
Russia17e,opr,988,83245
Russia17n,opr,996,81152
Sudao15e,opr,642,77233
Sudao15n,opr,910,82253
att48Ae,opr,27234,134158
att48An,opr,971,145515
AfricaSul11e,opr,417,71287
AfricaSul11n,opr,757,75003
Angola12e,opr,541,75102
Angola12n,opr,451,73134
Arabia14e,opr,838,75041
Arabia14n,opr,1301,75058
Argelia15e,opr,780,82572
Argelia15n,opr,799,81919
Argentina16e,opr,789,79188
Argentina16n,opr,990,83640
Australia16e,opr,956,84039
Australia16n,opr,787,83961
Bolivia10e,opr,478,70715
Bolivia10n,opr,525,69202
Brasil16e,opr,851,75202
Brasil16n,opr,1033,81102
BrasilAM26e,opr,435,98019
BrasilAM26n,opr,225,98060
BrasilMG30e,opr,415,100201
BrasilMG30n,opr,260,102056
BrasilPR25e,opr,451,94022
BrasilRJ14e,opr,250,77176
BrasilRJ14n,opr,123,76919
BrasilRN16e,opr,319,83206
Canada17e,opr,1163,81149
Canada17n,opr,1360,83008
Cazaquistao15e,opr,799,78884
Cazaquistao15n,opr,1403,79080
Chade12e,opr,860,75086
Chade12n,opr,735,73146
China17e,opr,879,79232
China17n,opr,834,83471
Colombia11e,opr,474,71261
Colombia11n,opr,575,73224
Congo15e,opr,663,77109
Congo15n,opr,728,79048
EUA17e,opr,710,81181
EUA17n,opr,732,86108
Egito9n,opr,670,71176
Etiopia10e,opr,308,67188
Etiopia10n,opr,482,71178
India16e,opr,1022,81032
India16n,opr,1121,81211
Indonesia14e,opr,756,77174
Indonesia14n,opr,667,77120
Ira13e,opr,838,77333
Ira13n,opr,829,75838
Libia14e,opr,622,76893
Libia14n,opr,566,77258
Mali11e,opr,544,75155
Mali11n,opr,779,75031
Mauritania10e,opr,472,73238
Mauritania10n,opr,307,69987
Mexico14e,opr,713,77127
Mexico14n,opr,1144,77983
Mongolia13e,opr,726,79479
Mongolia13n,opr,649,75219
Niger12e,opr,675,75082
Niger12n,opr,701,75137
Peru13e,opr,636,77209
Peru13n,opr,590,75117
Russia17e,opr,1034,77059
Russia17n,opr,972,81058
Sudao15e,opr,642,77173
Sudao15n,opr,964,81091
att48Ae,opr,27234,133954
att48An,opr,972,143459
AfricaSul11e,opr,417,71069
AfricaSul11n,opr,690,73057
Angola12e,opr,541,75302
Angola12n,opr,451,73157
Arabia14e,opr,795,75256
Arabia14n,opr,1031,75156
Argelia15e,opr,759,77230
Argelia15n,opr,906,81106
Argentina16e,opr,789,79264
Argentina16n,opr,990,85247
Australia16e,opr,956,85063
Australia16n,opr,906,79729
Bolivia10e,opr,478,69178
Bolivia10n,opr,525,69446
Brasil16e,opr,841,77158
Brasil16n,opr,1310,82588
BrasilAM26e,opr,420,96411
BrasilAM26n,opr,176,98687
BrasilMG30e,opr,425,104501
BrasilMG30n,opr,270,106489
BrasilPR25e,opr,437,93785
BrasilRJ14e,opr,250,79085
BrasilRJ14n,opr,117,79150
BrasilRN16e,opr,319,85182
Canada17e,opr,1286,83192
Canada17n,opr,1228,84604
Cazaquistao15e,opr,919,79163
Cazaquistao15n,opr,1180,81068
Chade12e,opr,672,75031
